seed,arm,anchor,method,rank_cap,alpha,n,noise,fit_budget,representation,input_mode,r,k,branch,group,pred_delta_pX,true_delta_pX,pred_delta_v,true_delta_v
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,3,1,0.0,0.0024110468564079016,-0.0,0.003633084891260707
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,3,2,0.0,0.002243667327664145,-0.0,0.0036753369208531506
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,3,3,0.0,0.0022046792293840428,-0.0,0.0035909782162293646
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,3,4,0.0,0.0020082170010681734,-0.0,0.0037682935403796115
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,3,5,0.0,0.0020295097596398077,-0.0,0.00365354000931086
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,4,0,0.0,0.0024026112579506854,-0.0,0.0037371007807282856
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,4,1,0.0,0.0024110468564079016,-0.0,0.003633084891260707
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,4,2,0.0,0.002243667327664145,-0.0,0.0036753369208531506
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,4,3,0.0,0.0022046792293840428,-0.0,0.0035909782162293646
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,4,4,0.0,0.0020082170010681734,-0.0,0.0037682935403796115
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,4,5,0.0,0.0020295097596398077,-0.0,0.00365354000931086
