seed,arm,anchor,method,rank_cap,alpha,n,noise,fit_budget,representation,input_mode,r,k,threshold,eligible_prompt_branches,eligible_branches,correct,accuracy
301,X_BASE,8,B4_RESPONSE_SVD,8,0.01,64,0,8,per_prompt,actual_d,8,23,0.01,0,0,0,
301,X_BASE,8,B4_RESPONSE_SVD,16,0.01,64,0,8,per_prompt,actual_d,16,23,0.002,54,8,29,0.5370370370370371
301,X_BASE,8,B4_RESPONSE_SVD,16,0.01,64,0,8,per_prompt,actual_d,16,23,0.005,0,0,0,
301,X_BASE,8,B4_RESPONSE_SVD,16,0.01,64,0,8,per_prompt,actual_d,16,23,0.01,0,0,0,
301,X_BASE,8,B4_RESPONSE_SVD,FULL,0.01,64,0,8,per_prompt,actual_d,23,23,0.002,54,8,30,0.5555555555555556
301,X_BASE,8,B4_RESPONSE_SVD,FULL,0.01,64,0,8,per_prompt,actual_d,23,23,0.005,0,0,0,
301,X_BASE,8,B4_RESPONSE_SVD,FULL,0.01,64,0,8,per_prompt,actual_d,23,23,0.01,0,0,0,
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,0.002,54,8,0,0.0
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,0.005,0,0,0,
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,0.01,0,0,0,
301,X_BASE,8,B5_WORST_GROUP_RANK,1,0.01,64,0,8,per_prompt,actual_d,1,23,0.002,54,8,20,0.37037037037037035
301,X_BASE,8,B5_WORST_GROUP_RANK,1,0.01,64,0,8,per_prompt,actual_d,1,23,0.005,0,0,0,
301,X_BASE,8,B5_WORST_GROUP_RANK,1,0.01,64,0,8,per_prompt,actual_d,1,23,0.01,0,0,0,
301,X_BASE,8,B5_WORST_GROUP_RANK,2,0.01,64,0,8,per_prompt,actual_d,2,23,0.002,54,8,29,0.5370370370370371
301,X_BASE,8,B5_WORST_GROUP_RANK,2,0.01,64,0,8,per_prompt,actual_d,2,23,0.005,0,0,0,
301,X_BASE,8,B5_WORST_GROUP_RANK,2,0.01,64,0,8,per_prompt,actual_d,2,23,0.01,0,0,0,
301,X_BASE,8,B5_WORST_GROUP_RANK,4,0.01,64,0,8,per_prompt,actual_d,4,23,0.002,54,8,30,0.5555555555555556
301,X_BASE,8,B5_WORST_GROUP_RANK,4,0.01,64,0,8,per_prompt,actual_d,4,23,0.005,0,0,0,
301,X_BASE,8,B5_WORST_GROUP_RANK,4,0.01,64,0,8,per_prompt,actual_d,4,23,0.01,0,0,0,
301,X_BASE,8,B5_WORST_GROUP_RANK,8,0.01,64,0,8,per_prompt,actual_d,8,23,0.002,54,8,30,0.5555555555555556
301,X_BASE,8,B5_WORST_GROUP_RANK,8,0.01,64,0,8,per_prompt,actual_d,8,23,0.005,0,0,0,
301,X_BASE,8,B5_WORST_GROUP_RANK,8,0.01,64,0,8,per_prompt,actual_d,8,23,0.01,0,0,0,
